major1,major2,Industry
Foreign Affairs,,Management
Foreign Affairs,,Management
Foreign Affairs,,Marketing and sales
Foreign Affairs,,Marketing and sales
Foreign Affairs,,Office and administrative support
Foreign Affairs,,Office and administrative support
Foreign Affairs,,Other (Please describe)
Foreign Affairs,,Other (Please describe): Analysis
Foreign Affairs,,Other (Please describe): Clergy
Foreign Affairs,,Other (Please describe): Communications
Foreign Affairs,,"Other (Please describe): Communications, UNHCR Headquarters"
Foreign Affairs,,Other (Please describe): Development
Foreign Affairs,,Other (Please describe): Economist
Foreign Affairs,,Other (Please describe): Foreign Service
Foreign Affairs,,Other (Please describe): Government Consulting
Foreign Affairs,,Other (Please describe): Government contractor/national security
Foreign Affairs,,Other (Please describe): Hill staffer
Foreign Affairs,,Other (Please describe): human resources
Foreign Affairs,,Other (Please describe): Library
Foreign Affairs,,Other (Please describe): Management Consulting
Foreign Affairs,,Other (Please describe): Operations & tech
Foreign Affairs,,Other (Please describe): Policy
Foreign Affairs,,Other (Please describe): Politics
Foreign Affairs,,Other (Please describe): public policy
Foreign Affairs,,Other (Please describe): Public Policy Advocacy/ Lobbying
Foreign Affairs,,Other (Please describe): Retail buyer
French,,"Arts, design, entertainment, sports and media"
French,,"Education, training and library"
French,,"Education, training and library"
French,,Healthcare / medical
French,,Legal
French,,Marketing and sales
French,,Other (Please describe): Human Resource Management
German,,"Education, training and library"
German,,Healthcare / medical
German,,Management
Government,,"Arts, design, entertainment, sports and media"
Government,,Business and financial/accounting
Government,,Business and financial/accounting
Government,,Business and financial/accounting
Government,,Business and financial/accounting
Government,,Business and financial/accounting
Government,,Business and financial/accounting
Government,,Business and financial/accounting
Government,,Community and social services
Government,,Community and social services
Government,,Computer and mathematical
Government,,Computer and mathematical
Government,,Computer and mathematical
Government,,"Education, training and library"
Government,,"Education, training and library"
Government,,"Education, training and library"
Government,,"Education, training and library"
Government,,Food preparation and serving related
Government,,Healthcare / medical
Government,,Healthcare / medical
Government,,Healthcare / medical
Government,,Legal
Government,,Legal
Government,,Legal
Government,,Legal
Government,,Legal
Government,,Legal
Government,,Legal
Government,,Legal
Government,,Legal
Government,,Legal
Government,,Legal
Government,,Management
Government,,Management
Government,,Management
Government,,Management
Government,,Management
Government,,Management
Government,,Marketing and sales
Government,,Office and administrative support
Government,,Other (Please describe): Academic publishing
Government,,Other (Please describe): Consulting
Government,,Other (Please describe): Government contractor
Government,,Other (Please describe): Human resources
Government,,Other (Please describe): insurance
Government,,Other (Please describe): Policy
Government,,Other (Please describe): USAID Contracting
Government,,Other (Please describe): Women's leadership programming
Government,,Personal care and service
Government,,Transportation
History,,(Not Answered)
History,,(Not Answered)
History,,(Not Answered)
History,,Architecture and engineering
History,,"Arts, design, entertainment, sports and media"
History,,"Arts, design, entertainment, sports and media"
History,,"Arts, design, entertainment, sports and media"
History,,Business and financial/accounting
History,,Business and financial/accounting
History,,Business and financial/accounting
History,,Business and financial/accounting
History,,Business and financial/accounting
History,,Business and financial/accounting
History,,Business and financial/accounting
History,,Business and financial/accounting
History,,Business and financial/accounting
History,,Business and financial/accounting
History,,Business and financial/accounting
History,,Community and social services
History,,Construction and extraction
History,,Construction and extraction
History,,"Education, training and library"
History,,"Education, training and library"
History,,"Education, training and library"
History,,"Education, training and library"
History,,"Education, training and library"
History,,"Education, training and library"
History,,"Education, training and library"
History,,"Education, training and library"
History,,"Education, training and library"
History,,"Education, training and library"
History,,"Education, training and library"
History,,"Education, training and library"
History,,"Education, training and library"
History,,Food preparation and serving related
History,,Healthcare / medical
History,,Healthcare / medical
History,,Healthcare / medical
History,,Healthcare / medical
History,,Healthcare / medical
History,,Law enforcement
History,,Legal
History,,Legal
History,,Legal
History,,Legal
History,,Legal
History,,Legal
History,,Legal
History,,Legal
History,,Legal
History,,Legal
History,,Legal
History,,Legal
History,,Legal
History,,Legal
History,,Legal
History,,Legal
History,,Legal
History,,Legal
History,,Legal
History,,Management
History,,Management
History,,Management
History,,Management
History,,Marketing and sales
History,,Marketing and sales
History,,Marketing and sales
History,,Marketing and sales
History,,Marketing and sales
History,,Marketing and sales
History,,Marketing and sales
History,,Marketing and sales
History,,Marketing and sales
History,,Marketing and sales
History,,Marketing and sales
History,,Office and administrative support
History,,Office and administrative support
History,,Office and administrative support
History,,Office and administrative support
History,,Office and administrative support
History,,Other (Please describe): Analysis
History,,Other (Please describe): Consulting
History,,Other (Please describe): Development
History,,Other (Please describe): Entrepreneurship
History,,Other (Please describe): Federal Congressional staff
History,,Other (Please describe): Foreign Affairs
History,,Other (Please describe): Fundraising
History,,Other (Please describe): Government Administration
History,,Other (Please describe): IT (software development)
History,,Other (Please describe): IT Tech Support
History,,Other (Please describe): Media and Advertising
History,,Other (Please describe): Organizational Development
History,,Other (Please describe): tech start up
History,,Other (Please describe): Urban Planning
Human Biology,,Healthcare / medical
Human Biology,,Legal
Italian,,Marketing and sales
Linguistics,,Architecture and engineering
Linguistics,,"Education, training and library"
Linguistics,,"Education, training and library"
Linguistics,,Healthcare / medical
Linguistics,,Other (Please describe): Policy
Mathematics,,(Not Answered)
Mathematics,,Business and financial/accounting
Mathematics,,Business and financial/accounting
Mathematics,,Business and financial/accounting
Mathematics,,Business and financial/accounting
Mathematics,,Business and financial/accounting
Mathematics,,Business and financial/accounting
Mathematics,,Business and financial/accounting
Mathematics,,Computer and mathematical
Mathematics,,Computer and mathematical
Mathematics,,Computer and mathematical
Mathematics,,Computer and mathematical
Mathematics,,"Education, training and library"
Mathematics,,Healthcare / medical
Media Studies,,"Arts, design, entertainment, sports and media"
Media Studies,,"Arts, design, entertainment, sports and media"
Media Studies,,Legal
Media Studies,,Marketing and sales
Media Studies,,Marketing and sales
Media Studies,,Marketing and sales
Media Studies,,Other (Please describe): Public Affairs
Middle Eastern Studies/Languages & Literature,,Other (Please describe)
Middle Eastern Studies/Languages & Literature,,Other (Please describe): Intelligence
Music,,(Not Answered)
Music,,"Arts, design, entertainment, sports and media"
Music,,"Arts, design, entertainment, sports and media"
Music,,Computer and mathematical
Music,,"Education, training and library"
Music,,Legal
Neuroscience,,Business and financial/accounting
Neuroscience,,Healthcare / medical
Neuroscience,,Other (Please describe): Scientific Research
Philosophy,,"Arts, design, entertainment, sports and media"
Philosophy,,Business and financial/accounting
Philosophy,,Community and social services
